"Nombres","","",""
"Nombre","Sexo","Origen y Comentarios",""
"Berna","F","",""
"Bernabe","M","ORIGEN:HEBREO----SIGNIFICADO: HIJO DEL PROFETA,HIJO DE LA PROFECIA,HI-JO DE LA CONSOLACION,ESTE ES UN SOBRENOMBRE DADO POR LOS APOSTOLES AJOSE,LEVITA ORIUNDO DE CHIPRE QUE ERA CONOCIDO POR LOS CRISTIANOS PRI-",""
"Bernabela","F","",""
"Bernadette","F","",""
"Bernadine","F","",""
"Bernard","M","",""
"Bernarda","F","",""
"Bernardina","F","",""
"Bernardino","M","ORIGEN:GERMANICO----GENERO:MASCULINO-----VARIACION DE GENERO:BERNARDI-NA.",""
"Bernardita","F","ORIGEN:GERMANICO----SIGNIFICADO: DIMINUTIVO DE BERNARDA,UNA VIDENTE DELOURDES,HIJA DEL MOLINERO SOUBIROUS,CANONIZADA EN 1933---GENERO:FEMENINO.-",""
"Bernardo","M","ORIGEN:GERMANICO----SIGNIFICADO: FUERTE-POTENTE-VALIENTE Y AUDAZ COMOUN OSO--SAN BERNARDO DE MENTON,FUNDADOR DEL ASILO ALPINO QUE LLEVA SUNOMBRE---NOMBRE:COMUN----GENERO:MASCULINO---VARIACION DE GENERO:BERNAR",""
"Berne","M","",""
"Berniago","M","",""
"Bernice","F","",""
"Bernie","M","",""
"Bernon","M","",""
"Bernwardo","M","",""
"Beronico","M","",""
"Bert","M","",""
"Berta","F","ORIGEN:GERMANICO----SIGNIFICADO: BRILLANTE,DISTINGUIDA,LA ILUSTRE QUEBRILLA POR SU PERSONALIDAD---NOMBRE:COMUN---GENERO:FEMENINO.",""
"Bertel","M","",""
"Bertha","F","",""
"Berthold","M","",""
"Bertil","M","",""
"Bertila","F","ORIGEN""GERMANICO---SIGNIFICADO: DIMINUTIVO DE BERTA-SAN BERTILA,ERA ESPOSA DE SAN VALBERTO---DIMINUTIVO---GENERO:FEMENINO.",""
"Bertilda","F","ORIGEN:TEUTON----SIGNIFICADO: LA QUE COMBATE,LA ILUSTRE---GENERO:FEME-NINO.",""
"Bertina","F","",""
"Bertino","M","",""
"Bertoldo","M","ORIGEN:GODO SIGNIFICADO: BRILLANTE,FIEL,EL JEFE ESPLENDIDO DE""BERTO""Y ""ALD"".CARACTERIZACION DEL NOMBRE:COMUN GENERO:MASCULINO VARIACIONDE GEBNERO: BERTOLDA.",""
"Berton","M","",""
"Bertran","M","ORIGEN:GERMANICO SIGNIFICADO: CUERVO BRILLANTE QUE LLEVA UN ESCUDOREFULGENTE. CARACTERIZACION DEL NOMBRE:COMUN GENERO:MASCULINOVARIACION DE BELTRAN.",""
"Bertrand","M","",""
"Bertulfo","M","ORIGEN:TEUTON----SIGNIFICADO: EL GUERRERO QUE BRILLA--GENERO:MASCULINO",""
"Beryl","A","",""
"Bes","F","",""
"Besa","M","",""
"Besarion","M","ORIGEN:GRIEGO----SIGNIFICADO: EL CAMINANTE---GENERO: MASCULINO",""
"Bess","F","",""
"Beta","F","",""
"Betania","F","",""
"Beth","F","",""
"Bethany","F","",""
"Bethsabe","F","",""
"Betiana","F","",""
"Betina","F","",""
"Betsabe","F","ORIGEN:HEBREO---SIGNIFICADO: SEPTIMA HIJA,LA HIJA DEL JURAMENTO,ERA ESPOSA DE DAVID Y MADRE DE SALOMON---GENERO: FEMENINO.",""
"Betsy","F","",""
"Bette","F","",""
"Bettina","F","",""
"Betty","F","",""
"Beulah","F","",""
"Bevan","M","",""
"Beverly","A","",""
"Bevin","A","",""
"Bhoomika","F","",""
"Bialy","M","",""
"Bian","F","",""
"Bianca","F","",""
"Bianor","M","",""
"Bibiana","F","ORIGEN:LATINO---SIGNIFICADO:VARIANTE GRAFICA DE ""VIVIANA""---SANTA VIR-GEN Y MARTIR ROMANA DEL SIGLO IV.GENERO:FEMENINO---VARIACION DE GENEROBIBIANO.",""
"Biblides","M","",""
"Biblis","F","",""
"Bice","F","",""
"Bicor","M","",""
"Bidelia","F","",""
"Bienvenido","M","ORIGEN:LATINO----SIGNIFICADO: AL QUE SE RECIBE CON ALEGRIA--NOMBRE DEBUEN AGšERO,PARA UN NI¥O LARGAMENTE ESPERADO,OBISPO DE OSIMO (SIGLOXIII)NOMBRE:COMUN-----GENERO:MASCULINO----VARIACION DE GENERO:BIENVENI",""
"Bigay","F","",""
"Bilal","M","",""
"Billy","M","",""
"Bilma","F","",""
"Bina","F","",""
"Biniamin","M","",""
"Binny","F","",""
"Birch","M","",""
"Birget","F","",""
"Birgitta","F","",""
"Birilo","M","",""
"Birino","M","",""
"Birkita","F","",""
"Birney","M","",""
"Birtle","M","",""
"Bishop","M","",""
"Bithron","F","",""
"Bitia","F","",""
